epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2437,1.68346,3.99663,1.58925,0.07115,0.37097,0.0516,0.02274,1.70459,16.0147,2.07215,0.000663317,0.000663317,0.000663317
2,74.0477,1.80834,2.5369,1.75034,0.30539,0.3129,0.20396,0.09636,1.84094,5.80786,2.00701,0.00130365,0.00130365,0.00130365
3,104.336,1.86443,2.46137,1.80866,0.14249,0.1871,0.09183,0.03474,1.85145,5.03259,1.84241,0.00191758,0.00191758,0.00191758
4,134.148,1.88848,2.56559,1.80989,0.33659,0.23226,0.20748,0.09161,1.88178,4.15219,1.97943,0.0018812,0.0018812,0.0018812
5,163.666,1.83892,2.38417,1.79784,0.29916,0.30645,0.18863,0.09166,1.74932,3.56772,1.82643,0.0018416,0.0018416,0.0018416
6,193.76,1.80685,2.33885,1.73644,0.44268,0.40323,0.38253,0.19976,1.66151,4.11664,1.72373,0.001802,0.001802,0.001802
7,222.697,1.73155,2.07034,1.65875,0.39207,0.4036,0.34505,0.18344,1.59786,3.5899,1.61829,0.0017624,0.0017624,0.0017624
8,251.568,1.69378,2.20328,1.64684,0.50344,0.39677,0.41131,0.21307,1.53789,3.06933,1.62251,0.0017228,0.0017228,0.0017228
9,279.666,1.66406,2.08423,1.61383,0.40201,0.47742,0.40321,0.22423,1.53617,3.47242,1.53633,0.0016832,0.0016832,0.0016832
10,313.369,1.6402,2.09688,1.59322,0.4714,0.44878,0.41745,0.21482,1.58361,3.03675,1.60243,0.0016436,0.0016436,0.0016436
11,343.888,1.56257,2.0516,1.53025,0.56865,0.42952,0.50023,0.28827,1.43895,2.69095,1.49214,0.001604,0.001604,0.001604
12,374.208,1.54033,1.96628,1.51888,0.47147,0.46617,0.44599,0.25189,1.39686,3.65909,1.49668,0.0015644,0.0015644,0.0015644
13,406.83,1.51422,1.90486,1.50277,0.52262,0.47742,0.51038,0.29588,1.41171,3.29857,1.48162,0.0015248,0.0015248,0.0015248
14,441.728,1.49855,1.76141,1.47752,0.50219,0.4871,0.49654,0.28546,1.40514,3.21898,1.4469,0.0014852,0.0014852,0.0014852
15,470.326,1.49052,1.80134,1.46973,0.54886,0.49057,0.53349,0.31557,1.38712,2.68676,1.44148,0.0014456,0.0014456,0.0014456
16,499.507,1.47508,1.8829,1.48143,0.58488,0.45449,0.50146,0.30374,1.34193,2.38354,1.42136,0.001406,0.001406,0.001406
17,528.675,1.43181,1.66196,1.44258,0.51496,0.56129,0.52711,0.31853,1.38989,3.44521,1.46207,0.0013664,0.0013664,0.0013664
18,557.691,1.49731,1.78427,1.50711,0.55546,0.52581,0.54939,0.32924,1.37554,2.57858,1.44284,0.0013268,0.0013268,0.0013268
19,586.432,1.4759,1.71722,1.47733,0.5205,0.5,0.51965,0.30213,1.38045,3.60757,1.42476,0.0012872,0.0012872,0.0012872
20,615.511,1.41848,1.70481,1.4333,0.54483,0.51935,0.54836,0.31659,1.32265,2.61377,1.39685,0.0012476,0.0012476,0.0012476
21,644.866,1.40016,1.67604,1.41095,0.55293,0.49355,0.5364,0.31943,1.38371,2.64801,1.43065,0.001208,0.001208,0.001208
22,673.62,1.36661,1.60291,1.40065,0.54126,0.53226,0.54997,0.32907,1.38213,2.85591,1.41754,0.0011684,0.0011684,0.0011684
23,704.638,1.35643,1.62544,1.38751,0.52535,0.57097,0.57049,0.35418,1.29714,2.83941,1.35854,0.0011288,0.0011288,0.0011288
24,734.025,1.38391,1.62144,1.41765,0.58149,0.57097,0.58525,0.35333,1.2861,3.71024,1.35647,0.0010892,0.0010892,0.0010892
25,762.709,1.3604,1.57381,1.39232,0.62414,0.50888,0.57494,0.33586,1.35874,3.96884,1.45305,0.0010496,0.0010496,0.0010496
26,793.322,1.35286,1.62587,1.39774,0.53453,0.5853,0.56637,0.33288,1.26898,3.57573,1.37114,0.00101,0.00101,0.00101
27,826.668,1.32442,1.46996,1.36862,0.55139,0.61613,0.59291,0.35679,1.33648,2.83222,1.42713,0.0009704,0.0009704,0.0009704
28,857.221,1.33865,1.50587,1.37906,0.49896,0.60645,0.55138,0.32753,1.26858,3.58721,1.36727,0.0009308,0.0009308,0.0009308
29,893.208,1.3288,1.51222,1.37921,0.5515,0.58065,0.59329,0.3723,1.28702,2.49922,1.38097,0.0008912,0.0008912,0.0008912
30,923.192,1.29678,1.47836,1.33402,0.6145,0.52258,0.58363,0.35783,1.2967,2.47332,1.35776,0.0008516,0.0008516,0.0008516
31,958.823,1.24779,1.44708,1.31301,0.56957,0.59355,0.60086,0.36183,1.25131,3.1924,1.34562,0.000812,0.000812,0.000812
32,992.959,1.2789,1.47155,1.34095,0.59992,0.55161,0.57813,0.36714,1.26509,2.10801,1.32555,0.0007724,0.0007724,0.0007724
33,1023.16,1.27577,1.44185,1.32644,0.64732,0.61613,0.63535,0.39766,1.23712,2.60267,1.31917,0.0007328,0.0007328,0.0007328
34,1054.2,1.24293,1.39664,1.337,0.61006,0.58387,0.61521,0.38635,1.27494,2.49615,1.34381,0.0006932,0.0006932,0.0006932
35,1084.25,1.25878,1.36719,1.33145,0.67174,0.55806,0.61103,0.38999,1.20807,3.59656,1.31345,0.0006536,0.0006536,0.0006536
36,1116.17,1.20614,1.31644,1.28851,0.62949,0.57419,0.6323,0.38442,1.22149,3.34273,1.31207,0.000614,0.000614,0.000614
