epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6697,1.17476,1.37251,1.27527,0.59399,0.57419,0.56942,0.35503,1.28994,3.33574,1.35854,0.000663317,0.000663317,0.000663317
2,76.6884,1.25962,1.41233,1.32389,0.56176,0.52515,0.51971,0.32323,1.35213,4.33386,1.41766,0.00127732,0.00127732,0.00127732
3,110.519,1.34267,1.51634,1.41087,0.50065,0.52258,0.48129,0.27485,1.51063,3.59451,1.56884,0.00183852,0.00183852,0.00183852
4,150.261,1.40188,1.71061,1.41638,0.52798,0.54194,0.50122,0.29662,1.39575,4.00479,1.47757,0.0017624,0.0017624,0.0017624
5,182.464,1.31211,1.57556,1.39689,0.58193,0.57742,0.59592,0.35793,1.36753,2.47075,1.45615,0.0016832,0.0016832,0.0016832
6,216.037,1.36687,1.62437,1.40644,0.56833,0.52258,0.55002,0.31353,1.40232,3.76839,1.50565,0.001604,0.001604,0.001604
7,252.55,1.35081,1.47686,1.38769,0.55039,0.53548,0.53489,0.3129,1.38622,3.44312,1.46085,0.0015248,0.0015248,0.0015248
8,285.058,1.31851,1.55227,1.3795,0.50192,0.58187,0.55226,0.34405,1.37453,2.88396,1.43015,0.0014456,0.0014456,0.0014456
9,319.506,1.29119,1.48557,1.34518,0.59351,0.50645,0.58613,0.35825,1.37633,2.50267,1.456,0.0013664,0.0013664,0.0013664
10,354.966,1.25825,1.49149,1.32513,0.54443,0.64516,0.5777,0.35481,1.31486,4.02894,1.38601,0.0012872,0.0012872,0.0012872
11,392.672,1.25372,1.52941,1.32123,0.57198,0.59489,0.60058,0.37086,1.31851,2.30034,1.38743,0.001208,0.001208,0.001208
12,432.303,1.24464,1.41461,1.31185,0.65291,0.58387,0.63599,0.39072,1.31257,2.81135,1.3861,0.0011288,0.0011288,0.0011288
13,466.342,1.23252,1.38164,1.31446,0.59595,0.61853,0.63475,0.38764,1.24887,3.63521,1.37081,0.0010496,0.0010496,0.0010496
14,500.409,1.18153,1.26303,1.27251,0.62099,0.6,0.60621,0.38692,1.28163,2.8054,1.34547,0.0009704,0.0009704,0.0009704
15,532.909,1.17055,1.28027,1.26656,0.65682,0.6,0.64472,0.41442,1.19811,3.26982,1.31388,0.0008912,0.0008912,0.0008912
16,598.906,1.10651,1.44452,1.23883,0.62614,0.57419,0.6094,0.37933,1.30144,2.01193,1.37435,0.000812,0.000812,0.000812
17,629.215,1.12844,1.53275,1.2426,0.60987,0.61521,0.60857,0.39868,1.24404,2.34171,1.33568,0.0007328,0.0007328,0.0007328
18,659.29,1.13926,1.26584,1.26825,0.61958,0.66129,0.65683,0.41872,1.28015,2.23089,1.37803,0.0006536,0.0006536,0.0006536
19,689.26,1.07125,1.38423,1.20435,0.59261,0.61003,0.62742,0.40209,1.22645,2.69305,1.31947,0.0005744,0.0005744,0.0005744
20,720.11,1.05279,1.14319,1.19865,0.683,0.60645,0.64979,0.42127,1.30549,2.25601,1.3968,0.0004952,0.0004952,0.0004952
21,750.712,1.03871,1.19209,1.20897,0.6881,0.5871,0.63424,0.41439,1.27803,2.48528,1.36063,0.000416,0.000416,0.000416
22,784.03,1.00676,1.22386,1.17035,0.66176,0.62481,0.65323,0.4304,1.22951,3.34578,1.32136,0.0003368,0.0003368,0.0003368
23,819.461,1.00238,1.14673,1.18626,0.63344,0.60645,0.63614,0.41566,1.25365,2.09657,1.36785,0.0002576,0.0002576,0.0002576
24,851.643,0.99131,1.09104,1.16536,0.66148,0.61774,0.66298,0.43684,1.24478,2.96727,1.34062,0.0001784,0.0001784,0.0001784
25,883.889,0.93513,1.06424,1.12122,0.68819,0.60323,0.67002,0.44222,1.23181,2.48822,1.33958,9.92e-05,9.92e-05,9.92e-05
